Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
7,8,9,ニシノチャステティ,牝5,54,高橋哲也,1:46.4,1.1/2,4-4-3-4,41.1,52.4,8,453(-2),[地]吉田正美,冨田藤男,
8,8,8,タカラシークレット,牡4,56,左海誠二,1:46.4,ハナ,8-8-9-9,39.7,7.5,4,499(-4),[地]原三男,藤元厚雄,
9,5,5,コーリンバロック,セ4,56,郷間勇太,1:46.4,ハナ,5-5-6-7,40.3,61.9,9,457(+2),[地]山田質,伊藤恵介,
1,2,2,ジョウショー,牡3,56,今井貴大,1:32.6,,3-3-1,39.7,1.8,1,471(+7),[地]宮本仁,大黒富美子,23.0
2,7,7,カソク,牝3,54,山田祥雄,1:33.1,2.1/2,1-1-2,40.6,3.5,3,466(+3),[地]今津勝之,芹沢精一,4.6
3,6,6,アルカヌム,牝3,54,大畑雅章,1:33.7,3,3-3-3,40.8,24.8,4,435(+5),[地]山内和明,杉浦和也,2.3
4,5,5,カシノマリア,牝3,54,加藤誓二,1:34.1,2,7-7-6,39.5,67.2,5,390(+2),[地]今津博之,神野生男,1.4
5,4,4,ヒラボクケーワン,牡3,56,宇都英樹,1:35.3,6,2-2-4,42.6,2.6,2,511(+5),[地]角田輝也,新田嘉一,0.9
6,3,3,ヴィクトリーハニー,牝3,54,加藤利征,1:35.8,2.1/2,5-5-5,42.4,129.5,6,384(0),[地]本名信行,（株）ファーストビ,
7,1,1,ボゴールパイン,牝3,54,友森翔太,1:36.8,5,6-6-7,42.7,228.4,7,415(+6),[地]安部弘一,酒井孝敏,
1,1,1,ミキノカンタータ,牝3,54,丸野勝虎,0:50.3,,1,36.5,1.1,1,439(-11),[地]井上哲,谷口久和,23.0
2,3,3,ノーザンエンブレム,牝3,54,柿原翔,0:51.0,3,2,36.8,3.9,2,482(0),[地]藤ヶ崎一,服部康夫,4.6
3,7,7,スリーロベリア,牝3,54,今井貴大,0:51.3,1.1/2,3,37.2,11.1,3,384(-6),[地]竹下直人,永井商事,2.3
4,2,2,エイシンピスト,牝3,54,戸部尚実,0:52.1,4,4,37.5,50.9,4,435(+3),[地]植松則幸,（株）ファーストビ,1.4
5,5,5,キニスキー,牡3,56,尾崎章生,0:52.4,1.1/2,5,37.5,57.3,5,449(-5),[地]植松則幸,（株）ファーストビ,0.9
6,6,6,コンバットシャイン,牝3,54,加藤利征,0:53.4,5,6,38.5,86.8,6,363(0),[地]安部弘一,酒井孝敏,
7,4,4,ニャオズライオン,牡3,56,友森翔太,0:54.2,4,7,38.4,112.7,7,439(-1),[地]安部弘一,吉田勝利,
